□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서4-1,1,노거목,당산목,회화나무,회화나무,Sophora japonica L.,성동구,성수2가동 416-2,공원,평탄지,1982.10.30,515,556,1500,143,450,,,,,,
서울특별시,서4-2,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,성수1가동 110,대지,평탄지,1981.10.27,315,357,1200,142,450,,,,,,
서울특별시,서4-3,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,성수1가동 110,대지,평탄지,1981.10.27,315,357,1600,120,380,,,,,,
서울특별시,서4-4,1,노거목,당산목,은행나무,은행나무,Ginkgo biloba L.,성동구,상왕십리동 72,대지,평탄지,1981.10.27,415,457,1700,135,430,,,,,,
서울특별시,서4-5,1,노거목,당산목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,성수1가동 642-1,수도용지,평탄지,1986.11.25,310,347,2000,150,480,,,,,,
서울특별시,서4-6,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,옥수동 415-1,종교용지,평탄지,1981.10.27,215,257,2000,100,320,,,,,,
서울특별시,서4-7,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,옥수동 415-1,종교용지,평탄지,1981.10.27,215,257,2000,100,330,,,,,,
서울특별시,서4-8,1,노거목,명목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,성수1가동 208,대지,평탄지,2000.12.20,340,363,1200,110,340,,,,,,
서울특별시,서4-9,1,노거목,명목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,성동구,성수1가동 208,대지,평탄지,2004.12.27,300,319,1200,90,270,,,,,,
서울특별시,서5-1,1,노거목,풍치목,느티나무,느티나무,Sawleaf Zelkova ,광진구,화양동 131,대지,평탄지,1974.04.20,620,669,700,51,160,,,,,,
